Title	Comments	Investigators	Date	Loc time	Lat	Lon	Air temp	Snow surface temp	Snow depth	Snow depth including slush	Ice-snow int temp	Ice thickness total	Freebord	Snow height (top=0)	T_snow	Ice distance from top	Ice temperature [C]	Start depth rate from top [cm]	End depth rate from top [cm]	Bucket number	Thickness val 1	Thickness val 2	Thickness val 3	Thickness val 4	Mean_thickness	Weight [g]	Salinity [g/kg]	Midpoint sal	Comments
Ice core data Core 9 Precision core <3	Top 11 cm of core is very slushy	Sara. Idunn. Dirk. Franzi. Anne. Milena. Herman. Daniel	13.04.2023	15:10:00	78*39'16	14*42'28	3.2	0.5	25	Nan	-3	56	0	2	0.1	-2	-1.6	0	5		5.3	5.5			5.4	181	14.2	-2.5	
	Temp jump --> WHY??													4	0	-4	-1.8	5	9		4.4	4.6			4.5	175	19.1	-7.0	
	ALGEA AT BOTTOM - SUPERCOOL!!													6	-0.2	-6	-2	9	15		6	6	5.9	5.8	5.9	9	8.5	-12.0	Average av alle 2cm? Evt remove cus outlier
														8	-0.5	-8	-2.2	15	20		5	5	5	5.2	5.1	176	9.1	-17.5	
														10	-0.7	-10	-2.5	21	23		2.5	2.5	2.5	2.3	2.5	59	7.8	-22.0	
														12	-1.2	-12	-2.1	23	25		1.6	1.6	1.7	1.8	1.7	70	9.2	-24.0	
														14	-1.7	-14	-2.2	25	27		2.2	2.3	2.4	2.4	2.3	73	8.3	-26.0	
														16	-1.9	-16	-2.3	27	30		2.2	2.3	2.5	2.6	2.4	76	8.4	-28.5	
														18	-2	-18	-2.4	30	32		2.5	2.5	2.6	2.8	2.6	96	6.6	-31.0	
														20	-2.4	-20	-2.1	32	34		2	2	2	2.1	2.0	76	6.6	-33.0	
														22	-2.6	-24	-2.2	34	34.5		1.2	1.2	1.3	1.5	1.3	48	6.7	-34.3	
																-26	-2.2	34.5	36.5		2.3	2.2	2.4	2.5	2.4	84	6.0	-35.5	
																-28	-2.2	36.5	38.5		2.5	2.6	2.5	3.1	2.7	96	5.3	-37.5	
																-30	-2.1	38.5	41.5		1.6	1.6	1.6	1.9	1.7	61	4.3	-40.0	
																-32	-2.2	41.5	42.5		2.2	2.2	2.1	2.1	2.2	74	6.1	-42.0	
																-34	-2.2	42.5	44.5		2	2.2	1.8	1.9	2.0	68	5.6	-43.5	
																-36	-2.2	44.5	47		2.2	2.2	2.3	2.3	2.3	87	5.3	-45.8	
																-38	-2.1	49	50		2	2.4	1.8	1.8	2.0	77	6.4	-49.5	
																-40	-2.1	50	52		2.1	2.2	2.3	2.1	2.2	86	7.0	-51.0	
																-42	-1.9	53	54							74	13.0	-53.5	
																-44	-1.8												
																-46	-1.8												
																-48	-1.6												
																-50	-1.6												
																-52	-1.6												
																-54	-1.5												
